session_id,label,speed_score,vibration_score,pause_ratio,smoothness_score,gyro_std,gyro_max,gyro_range,jerk_mean,jerk_max,energy,writer_id,text_id
20251231_175855,medium,1773.137675716644,1011.1395753943962,0.3413821815154038,1.753603278035504,2657.35180140736,17613.73935312999,17494.533648568504,305.6200499602692,4725.444823371976,10205535.81348876,p01,word01
20251231_175936,medium,1792.9653322026725,1217.166510648084,0.4322742474916388,1.4730649545845107,3324.8345590587405,27249.140353412982,27081.485946969253,313.88020418637427,7381.910401296223,14269249.527591974,p01,word01
20251231_180018,medium,1762.8145727293734,1196.5449152635028,0.4277360066833751,1.4732539905264757,3316.2619589433866,25652.647680112867,25539.767212360468,288.0947536864098,13098.649442212962,14105108.598162072,p01,word01
20251231_180056,medium,1837.561336479513,1095.1004000733833,0.555,1.677984351643368,3080.070379960327,19256.585444984787,19140.74503752694,244.39898012183627,8193.252208952925,12863465.210833332,p01,word01
20251231_180149,bad,1751.8655433252984,1260.2143065162904,0.5054211843202668,1.3901330375926175,3469.775790384841,27098.38652023401,26884.79579009808,313.2593848583402,8173.094851629818,15108376.917431192,p01,word01
20251231_180223,bad,1874.9780414261847,1288.7154427753885,0.5996663886572143,1.454920130337925,3451.243049642535,23980.735622578388,23861.58445808555,361.9178969751828,7780.514360394047,15426621.24353628,p01,word01
20251231_180331,bad,1880.4571051858973,1206.6092584192472,0.5570358034970858,1.5584640102057394,3307.4819537009,21440.493954197977,21364.32309362781,306.235246155682,8785.117268615417,14475555.79850125,p01,word01
20251231_180446,bad,2157.8558238232536,1565.48759120732,0.7048494983277592,1.37839216009416,4323.745438834974,28752.370476188567,28674.235976766096,383.3770850811827,9796.142116032506,23351116.376254182,p01,word01
20251231_180520,bad,2249.014241954661,1469.74807821676,0.6383333333333333,1.5302038994010303,3981.092638688333,26754.9635581886,26625.932554162435,393.45755230037145,5291.632129642,20907163.65833333,p01,word01
20251231_180555,bad,2247.687374302968,1499.9103888923346,0.7152373022481265,1.4985477728868253,4006.2035527666376,26246.48355494504,26013.5007229595,425.78474723191886,7522.30386987713,21101765.438801,p01,word01
20251231_180653,bad,2069.039924394876,1391.06910481765,0.6343906510851419,1.4873739311309948,3882.9483938742255,25519.06246318622,25323.22579654792,323.1208380791179,6886.791938994191,19358214.438230384,p01,word01
20251231_181045,bad,2504.113365334817,1632.245258796141,0.5670274771024146,1.5341526344193936,3978.308327707173,25856.13540342021,25802.74064712336,626.78965783427,10256.930952865692,22097520.896752708,p01,word01
20251231_181121,bad,1687.492296110291,1091.0243291516274,0.6641666666666667,1.546704550462012,2888.6503748408904,14793.094267258624,14746.704613239652,320.6131667133718,5676.79753293588,11191931.2375,p01,word01
20251231_181214,bad,1972.5185721239304,1272.4355796099933,0.6277128547579299,1.5501913041274151,3270.1527765725773,18543.96443590205,18493.784758740872,416.2710666260287,9339.01092658045,14584728.699499166,p01,word01
20251231_181244,bad,1551.0705113209024,1102.2392394081671,0.6777685262281432,1.4071995030285165,2958.204753111876,18689.06854286752,18601.976637388303,306.8254478208634,6544.276971516798,11156795.09242298,p01,word01
20251231_181317,bad,1671.4148328529805,1187.2720167888992,0.5501672240802675,1.4077774998569563,3031.603607378701,23726.97835797892,23671.94200635565,396.8441922504129,9716.869199312818,11984247.975752508,p01,word01
